Nr.,Art-Nr.,EAN-Nr.,Artikel,DE Beschreibung,CN Beschreibung,Foto,EK,UVP,VK (netto),VE,Liefereinheit,"Stückzahl pro
 Umkarton",Umkartionsgröße,,,,,Gewicht,Palettengröße,,,,,"Liefereinheit
pro Palett","Liefereinheit
pro Lage",Logo
58,,,BABYJOGGER City Mini,"4-Rad, Black/Black",四轮，黑色/黑色,,258.24 €,469.00  €,284.06 €,,,,,,,,,,,,,,,,,
59,,,BABYJOGGER City Mini,"4-Rad, Crimson/Gray",四轮，深红色/灰色,,258.24 €,469.00  €,284.06 €,,,,,,,,,,,,,,,,,
60,,,BABYJOGGER City Mini,"4-Rad, Sand/Stone",四轮，沙色/石色,,258.24 €,469.00  €,284.06 €,,,,,,,,,,,,,,,,,
61,,,BABYJOGGER City Mini,"4-Rad, Teal/Gray",四轮，蓝绿色/灰色,,258.24 €,469.00  €,284.06 €,,,,,,,,,,,,,,,,,
62,,,BABYJOGGER City Mini,"3-Rad, Black/Black",三轮，黑色/黑色,,219.84 €,399.00  €,241.82 €,,,,,,,,,,,,,,,,,
63,,,BABYJOGGER City Mini,"3-Rad, Crimson/Gray",三轮，深红色/灰色,,219.84 €,399.00  €,241.82 €,,,,,,,,,,,,,,,,,
64,,,BABYJOGGER City Mini,"3-Rad, Sand/Stone",三轮，沙色/石色,,219.84 €,399.00  €,241.82 €,,,,,,,,,,,,,,,,,
65,,,BABYJOGGER City Mini,"3-Rad, Teal/Gray",三轮，蓝绿色/灰色,,219.84 €,399.00  €,241.82 €,,,,,,,,,,,,,,,,,
66,,,BABYJOGGER City Mini,"3-Rad, Navy Blue/Gray",三轮，海蓝色/灰色,,219.84 €,399.00  €,241.82 €,,,,,,,,,,,,,,,,,
67,,,BABYJOGGER City Mini GT,"3-Rad, Black/Black",三轮，黑色/黑色,,315.84 €,569.00  €,347.42 €,,,,,,,,,,,,,,,,,
68,,,BABYJOGGER City Mini GT,"3-Rad, Crimson/Gray",三轮，深红色/灰色,,315.84 €,569.00  €,347.42 €,,,,,,,,,,,,,,,,,
69,,,BABYJOGGER City Mini GT,"3-Rad, Sand/Stone",三轮，沙色/石色,,315.84 €,569.00  €,347.42 €,,,,,,,,,,,,,,,,,
70,,,BABYJOGGER City Mini GT,"3-Rad, Teal/Gray",三轮，蓝绿色/灰色,,315.84 €,569.00  €,347.42 €,,,,,,,,,,,,,,,,,
71,,,BABYJOGGER Zip Einer,"4-Rad, Black",四轮，黑色,,216.00 €,379.00  €,237.60 €,,,,,,,,,,,,,,,,,
72,,,BABYJOGGER Zip Einer,"4-Rad, Red",四轮，红色,,216.00 €,379.00  €,237.60 €,,,,,,,,,,,,,,,,,
73,,,BABYJOGGER Zip Einer,"4-Rad, Teal",四轮，蓝绿色,,216.00 €,379.00  €,237.60 €,,,,,,,,,,,,,,,,,
74,,,BABYJOGGER Sicherheitsbügel,"für Mini, Mini GT und Elite","保护杆，适用于 Elite 和 F.I.T.
系列",,20.06 €,37.95  €,22.07 €,,,,,,,,,,,,,,,,,
75,,,BABYJOGGER Adapter,für Maxi-Cosi u. Cybex,Maxi-Cosi 和 Cybes 转换装置,,22.56 €,44.95  €,24.82 €,,,,,,,,,,,,,,,,,
76,,,BABYJOGGER City Select,"4-Rad, Black",四轮，黑色,,431.04 €,749.00  €,474.14 €,,,,,,,,,,,,,,,,,
77,,,BABYJOGGER City Select,"4-Rad, Red",四轮，红色,,431.04 €,749.00  €,474.14 €,,,,,,,,,,,,,,,,,
78,,,BABYJOGGER City Select,"4-Rad, Teal",四轮，蓝绿色,,431.04 €,749.00  €,474.14 €,,,,,,,,,,,,,,,,,
79,,,BABYJOGGER City Select,"4-Rad, Sand",四轮，沙色,,431.04 €,749.00  €,474.14 €,,,,,,,,,,,,,,,,,
80,,,BABYJOGGER City Select,"4-Rad, Black Denim",四轮，牛仔黑色,,446.40 €,779.00  €,491.04 €,,,,,,,,,,,,,,,,,
81,,,BABYJOGGER City Select,"Zweitsitz, Black",双人，黑色,,148.80 €,269.00  €,163.68 €,,,,,,,,,,,,,,,,,
82,,,BABYJOGGER City Select,"Zweitsitz, Red",双人，红色,,148.80 €,269.00  €,163.68 €,,,,,,,,,,,,,,,,,
83,,,BABYJOGGER City Select,"Zweitsitz, Teal",双人，蓝绿色,,148.80 €,269.00  €,163.68 €,,,,,,,,,,,,,,,,,
84,,,BABYJOGGER City Select,"Zweitsitz, Sand",双人，沙色,,148.80 €,269.00  €,163.68 €,,,,,,,,,,,,,,,,,
85,,,BABYJOGGER City Select,"Zweitsitz, Black Denim",双人，牛仔黑色,,160.32 €,289.00  €,176.35 €,,,,,,,,,,,,,,,,,
86,,,BABYJOGGER City Select,Sicherheitsbügel,保护杆，适用于City Select 系列,,20.06 €,37.95  €,22.07 €,,,,,,,,,,,,,,,,,
87,,,BABYJOGGER City Select,Adapter für Maxi-Cosi,Maxi-Cosi 转换装置， 适用于City Select 系列,,22.56 €,44.95  €,24.82 €,,,,,,,,,,,,,,,,,
88,,,PEG Book 51 XL Modular,"Gestell anthrazit, Mod beige",车架黑色，米色,,473.28 €,779.00  €,520.61 €,,,,,,,,,,,,,,,,,
89,,,PEG Book 51 XL Modular,"Gestell weiß, Ascot",车架白色，深卡其色,,557.76 €,909.00  €,613.54 €,,,,,,,,,,,,,,,,,
90,,,PEG Book S XL Modular,"Gestell anthrazit, Blue Denim",车架黑色，蓝色牛仔,,595.20 €,979.00  €,654.72 €,,,,,,,,,,,,,,,,,
91,,,PEG Basis Isofix 0+1,für Primo Viaggio + Viaggio 1,"ISO基座，适用于 Primo
Viaggio 和 
Viaggio 1 系列",,80.64 €,129.00  €,88.70 €,,,,,,,,,,,,,,,,,
